Place,lat,lng,Site,Notes,Comment,url_image,img
"Ciudad de Buenos Aires, Argentina",-34.6036844,-58.3815591,Visit to Argentine Socialist Alfredo Palacios,Aeropuerto de salida,"""I leave with the feeling of having had en exchange with an ancient gentleman. Deep down, I find it har to believe that men of such ideas and such language are capable of taking the masses from the influence of Peronist demagogy. Not only times change, I thought, not only children come of age. Men and ideas also grow older.""","""https://ojourbano.com.ar/wp-content/uploads/2018/02/Obelisco-3.jpg""","<img src = 'https://ojourbano.com.ar/wp-content/uploads/2018/02/Obelisco-3.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
"
Belgrade Airport,44.818745,20.402124,Arrival,Aeropuerto de llegada,"""Several leading cadre were waiting for us.""","""https://i.imgur.com/yJWsD4w.jpg""",<img src = 'https://i.imgur.com/yJWsD4w.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
"Hotel Moskva, Belgrade",44.8130277,20.4604305,"Hotel Moskva, Belgrade",Alojamiento,"""...an old structure of the beginning of the 20th century, which has never chage its name, not even in the years when they had broken with the Soviets.""","""https://cdn.verbolia.com/api/images/H4sIAAAAAAAEAFWQy2rDMBBFf8VoXVmKG1rjXRMo2QQKTenSjOWJrESyjDyOQ0v!vXLtBLqcOw!OmW!2ESwrWEPU9YUQxoHGnst1WqNV4DrkPQEZlbZIsatLC0GjgEGR8a2QUoosy0X+nIl8!VRKuSortDpAHTcxVAZ4hX6qucKWMPDGE1rufH++AI8BfJkT8g5aH8AZxS8GR67i4ceVTE+dZg!sFaytQJ3!s47jeKdc8CZ4UeMRBkvcEDr+h7uc2cPV/uMHt0OiGWJFJec8+TU1NjPIYvdhI1QLhAa9xjG1uPu+zz2bxSbaz0G4SSvaz0OEmlGwhECZvPv7PYsJ+fgHgbqlBawEAAA==/belgrade-serbia-beograd-center-hotel-moskva-terazije-carte-postale.jpg""",<img src = 'https://cdn.verbolia.com/api/images/H4sIAAAAAAAEAFWQy2rDMBBFf8VoXVmKG1rjXRMo2QQKTenSjOWJrESyjDyOQ0v!vXLtBLqcOw!OmW!2ESwrWEPU9YUQxoHGnst1WqNV4DrkPQEZlbZIsatLC0GjgEGR8a2QUoosy0X+nIl8!VRKuSortDpAHTcxVAZ4hX6qucKWMPDGE1rufH++AI8BfJkT8g5aH8AZxS8GR67i4ceVTE+dZg!sFaytQJ3!s47jeKdc8CZ4UeMRBkvcEDr+h7uc2cPV/uMHt0OiGWJFJec8+TU1NjPIYvdhI1QLhAa9xjG1uPu+zz2bxSbaz0G4SSvaz0OEmlGwhECZvPv7PYsJ+fgHgbqlBawEAAA==/belgrade-serbia-beograd-center-hotel-moskva-terazije-carte-postale.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
Zrece,46.3696591,15.3918526,Self-managed commune,"Zona de Brinjevagora, Eslovenia","""Of its 700 inhabitants, only one does not take part in the cooperative""","""https://upload.wikimedia.org/wikipedia/commons/7/75/Tovarna_kovanega_orodja_v_Zre%C4%8Dah_1961_%283%29.jpg""",<img src = 'https://upload.wikimedia.org/wikipedia/commons/7/75/Tovarna_kovanega_orodja_v_Zre%C4%8Dah_1961_%283%29.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
"Agrarnka Banka, Beograd",44.8125573,20.463721,"SSRNJ, Central Committee",Reunión,"""The building was built in times of the Monarchy to be occupied by the Agrarian Bank""","""http://beogradskonasledje.rs/kd/zavod/stari_grad/images/agrarna_banka/0_agrarna-banka-2-v.jpg""",<img src = 'http://beogradskonasledje.rs/kd/zavod/stari_grad/images/agrarna_banka/0_agrarna-banka-2-v.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
Kalemegdan,44.8231826,20.4504791,Museum of the War of Liberation in Serbia,,"""It lies in the very ancient Roman-Turkish fortress of Kalemegdan""","""https://live.staticflickr.com/678/31818674203_e5ce6c7ee8_b.jpg""",<img src = 'https://live.staticflickr.com/678/31818674203_e5ce6c7ee8_b.jpg' style='height: 100%; width: 100%; object-fit: contain'/>
Ljubljana,46.059286,14.495289,Museum of the War of Liberation in Slovenia,,"""It holds a mural painting that says 'What is someone else's, we do not want; what is ours, we do not give' """,https://img.rtvslo.si/_up/archive/Kultura/drugo/muzej_ga7.jpg',<img src = 'https://img.rtvslo.si/_up/archive/Kultura/drugo/muzej_ga7.jpg' style='height: 100%; width: 100%; object-fit: contain'/>
"Museum of Modern Art, Zagreb",45.7788821,15.9818618,Museum of Modern Art,,"""I remember seeing a sculpture by Vanja Radaus called 'The Executioner'"".","""https://i.pinimg.com/474x/53/7a/52/537a52918920c43b1f5641751af5af48.jpg""","
<img src = 'https://i.pinimg.com/474x/53/7a/52/537a52918920c43b1f5641751af5af48.jpg' style='height: 100%; width: 100%; object-fit: contain'/>
"
"Tito House, Kumrovec",46.0760348,15.6775854,Tito's Birthplace,,"""In the doors, a sign says 'Comrade Tito was born here'. Nothing else. Not a sign of the tropical exuberance of a Trujillo, or a Somoza""",https://upload.wikimedia.org/wikipedia/commons/c/c8/Rojstna_hi%C5%A1a_Josipa_Broza_Tita_v_Kumrovcu_1958.jpg',"
<img src = 'https://upload.wikimedia.org/wikipedia/commons/c/c8/Rojstna_hi%C5%A1a_Josipa_Broza_Tita_v_Kumrovcu_1958.jpg' style='height: 100%; width: 100%; object-fit: contain'/>"
Bosna river,44.4481576,18.1583259,Restaurant by the Bosna River,Restaurante,,https://visoko.co.ba/wp-content/uploads/2016/08/rijeka_bosna_visoko1.jpg',"
<img src = 'https://visoko.co.ba/wp-content/uploads/2016/08/rijeka_bosna_visoko1.jpg'' style='height: 100%; width: 100%; object-fit: contain'/>"
Kaštela,43.55,16.383333,Jugovinil Factory,,"""A conmemorative sign shows that the workers, by suggestion of Tito and the SKJ, realized Marx and Engels' ideas and took over the factory on October 20, 1950""",https://i.pinimg.com/originals/2d/c8/8a/2dc88a3d2e8221ab4c5a32f546c4b515.png',"
<img src = 'https://i.pinimg.com/originals/2d/c8/8a/2dc88a3d2e8221ab4c5a32f546c4b515.png' style='height: 100%; width: 100%; object-fit: contain'/>"
Sarajevo,43.8562586,18.4130763,Cigarrette Factory,,"""In the factory, the minimum wage is 7,500 dinars, while directors have a wage of up to 22,000 dinars. Technicians claim that the difference between both should be smaller"".",,
Maribor,46.5546503,15.6458812,Truck Factory,,"""In the factory, the minimum wage is 6,800 dinars, while directors have a wage of up to 36,000 dinars"".",https://mariborinfo.com/sites/mariborinfo/files/styles/novica/public/slike/naslovne/2017/5/11/14780_as_582_002_01_910e8c0f562b46fa130973b883f292d9.jpg,"
<img src = 'https://mariborinfo.com/sites/mariborinfo/files/styles/novica/public/slike/naslovne/2017/5/11/14780_as_582_002_01_910e8c0f562b46fa130973b883f292d9.jpg' style='height: 100%; width: 100%; object-fit: contain'/>"
"Velika Kavarna cafe, Maribor",46.5572463,15.6457951,Cafe close to Maribor,Kafana,"""It was wide, confortable, old, with walls covered by apricot and creamy tapestry, with square tables surrounded by red chairs, and big lamps hanging from the ceiling and on the walls""",https://api.europeana.eu/api/v2/thumbnail-by-url.json?size=w400&type=IMAGE&uri=http%3A%2F%2Fwww.eheritage.si%2FANNDT%2F01000_RYSBYPNRBLBKSJRNKLGO.jpg',"
<img src = 'https://api.europeana.eu/api/v2/thumbnail-by-url.json?size=w400&type=IMAGE&uri=http%3A%2F%2Fwww.eheritage.si%2FANNDT%2F01000_RYSBYPNRBLBKSJRNKLGO.jpg' style='height: 100%; width: 100%; object-fit: contain'/>"
Sarajevo,43.8562586,18.4130763,"""Rade Koncar"" Factory",,"""Kruschev visited that same factory""",https://www.sveopoduzetnistvu.com/sveopodulaz/source/SLIKE%202019-2DIO/B.0.PIFT.jpg',"
<img src = 'https://www.sveopoduzetnistvu.com/sveopodulaz/source/SLIKE%202019-2DIO/B.0.PIFT.jpg'' style='height: 100%; width: 100%; object-fit: contain'/>"
"Kranj, Slovenia",46.2428344,14.3555417,Slovene Commune,Vista del sistema comunal,"""It is considered to be a model commune, and we could see the extension of its executive organs"".",https://upload.wikimedia.org/wikipedia/commons/a/a8/Postcard_of_Kranj_%289%29.jpg',<img src = 'https://upload.wikimedia.org/wikipedia/commons/a/a8/Postcard_of_Kranj_%289%29.jpg' style='height: 100%; width: 100%; object-fit: contain'/>
"Lazaropole, Macedonia",41.5358885,20.6958569,Mountain Village,"Visita a cooperativa agicultora (Waiss le dice ""Lazaro Polje"")","""Traditionally men here emigrated to America and came back to settle and die. During the last war, it was destroyed. Today, life runs again through its uphill streets""",https://images.fineartamerica.com/images-medium-large-5/lazaropole-for-ninety-one-days.jpg',"
<img src = 'https://images.fineartamerica.com/images-medium-large-5/lazaropole-for-ninety-one-days.jpg' style='height: 100%; width: 100%; object-fit: contain'/>"
"Jesenice, Slovenia",46.4367047,14.0526057,Foundry,Visita a una fundición,,https://www.gorenjski-muzej.si/wp-content/uploads/2016/06/Jesenice_%C5%BEelezarna_pano-2.jpg,<img src = 'https://www.gorenjski-muzej.si/wp-content/uploads/2016/06/Jesenice_%C5%BEelezarna_pano-2.jpg' style='height: 100%; width: 100%; object-fit: contain'/>
Lake Ohrid,41.0419103,20.7189976,Tour on a Boat,Tour with a boat around the lake,"""Lazar Kolichevski showed us the town where he was sentenced to death when he was a hero of the resistance, straight out of the factory where was a skilled metal worker"" ",https://www.researchgate.net/profile/Metodija_Velevski/publication/258105368/figure/fig28/AS:668293975244810@1536345108594/Characteristic-landscape-of-the-IBA-Lake-Ohrid-photo-S-Hristovski-Slika-10-Znailna.png',"
<img src = 'https://www.researchgate.net/profile/Metodija_Velevski/publication/258105368/figure/fig28/AS:668293975244810@1536345108594/Characteristic-landscape-of-the-IBA-Lake-Ohrid-photo-S-Hristovski-Slika-10-Znailna.png' style='height: 100%; width: 100%; object-fit: contain'/>"
Rijeka,45.3270631,14.442176,A Look at the System of Local Self-Management,,"""That town in the Adriatic which the Italians still call Fiume""",https://i.pinimg.com/originals/15/40/14/154014d120e21b4c48768041f5c126f0.jpg',"
<img src = 'https://i.pinimg.com/originals/15/40/14/154014d120e21b4c48768041f5c126f0.jpg' style='height: 100%; width: 100%; object-fit: contain'/>"
Bor,44.0698918,22.0985086,Mining Town,,"""I saw a schoolteacher there (...) He said that before the war, there was only a primary school in the town. Now there are ten""",http://tobor.rs/wp-content/uploads/2014/02/img2141-Max-%C5%A0irina-1024-Max-Visina-768.jpg',"
<img src = 'http://tobor.rs/wp-content/uploads/2014/02/img2141-Max-%C5%A0irina-1024-Max-Visina-768.jpg' style='height: 100%; width: 100%; object-fit: contain'/>"
Slijeme Mountain,45.8992885,15.9477552,Restaurant in the Outskirts of Zagreb,,"""We arrived, some boys where studying and laughing. When they saw me with Milos Zanko, from the University, they stood in silence. After we left, they started doing noises again. Zanko looked at them with a smile: youth is always youth, everywhere on this Earth""",,
Sarajevo Museum,43.8579223,18.4288885,Unnamed Museum,,"""I met there an old Sephardic Jew. He told me he had spent 5 years in a concentration camp, and now life was for him happy and safe""",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/1914_photo_of_an_Ashkenazic_synagogue_in_Sarajevo.png/330px-1914_photo_of_an_Ashkenazic_synagogue_in_Sarajevo.png',"<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/1914_photo_of_an_Ashkenazic_synagogue_in_Sarajevo.png/330px-1914_photo_of_an_Ashkenazic_synagogue_in_Sarajevo.png'  style='height: 100%; width: 100%; object-fit: contain'/>
"
Ohrid,41.1230977,20.8016481,A Tour Around Ohrid,,"""Next to the oldest lake in Europe, it hold valuable artistic and architectonic relics""",https://static.kupindoslike.com/Ohrid-crkva-Sv-Kliment-1960_slika_O_26103509.jpg,<img src = 'https://static.kupindoslike.com/Ohrid-crkva-Sv-Kliment-1960_slika_O_26103509.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
Dubrovnik,42.6506606,18.0944238,A Tour Around Dubrovnik,,"""It kept its prosperity until the 1667 earthwquake. Nowadays, rebuilt and shining, it lives within the walls that remember its glorious past and keeps its traditions""",https://i.pinimg.com/originals/96/b5/58/96b5580467c9c7fc8ab41adbecd8eb0c.jpg',<img src = 'https://i.pinimg.com/originals/96/b5/58/96b5580467c9c7fc8ab41adbecd8eb0c.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
"Avala, Belgrade",44.6891667,20.5161111,Monument to the Unknown Soldier,,"""A symbol of national poetry and history (...) There, Mestrovic built his Monument to the Unknown Soldier, with statues that represent the six federate republics""","""https://farm4.static.flickr.com/3133/3174160314_1ea3767c1f_o.jpg""","<img src = 'https://farm4.static.flickr.com/3133/3174160314_1ea3767c1f_o.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
"
Split Croatia,43.5081323,16.4401935,Meeting with Tito,,"""Tito is 63, but he seems much younger (...) One sees that he was not born to hesitate. That man had to give orders of life and death in the middle of his people's resistance against a terribly power invader. That man also knows where his country is going in the difficult times of today""",https://upload.wikimedia.org/wikipedia/commons/d/d2/SPLIT-Overall_view_1910.jpg',"<img src = 'https://upload.wikimedia.org/wikipedia/commons/d/d2/SPLIT-Overall_view_1910.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
"
Trogir,43.533788,16.252574,Villa in the Outskirts of Split,,"""Established about 2,000 years ago, its narrow streets have still that typical look of the Middle Ages""","""https://apartments-town-trogir.com/images/oldtrogir/11000368_10152754892258037_5500308745548145254_o.jpg""","<img src = 'https://apartments-town-trogir.com/images/oldtrogir/11000368_10152754892258037_5500308745548145254_o.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>
"